STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
MN,LAKEOFTHEWOODS,27,077,971,0.420,1278,0.552,64,0.028
WA,WHATCOM,53,073,58236,0.580,40205,0.401,1898,0.019
MT,VALLEY,30,105,1645,0.421,2121,0.542,145,0.037
MT,FLATHEAD,30,029,16138,0.369,25559,0.585,2017,0.046
ID,BOUNDARY,16,021,1484,0.314,3078,0.650,171,0.036
MT,PHILLIPS,30,071,638,0.300,1423,0.670,62,0.029
ND,ROLETTE,38,079,3403,0.751,1045,0.231,86,0.019
MT,LINCOLN,30,053,3025,0.328,5704,0.618,498,0.054
ND,BOTTINEAU,38,009,1387,0.395,2059,0.586,70,0.020
MT,GLACIER,30,035,3423,0.689,1451,0.292,96,0.019
MT,HILL,30,041,3596,0.543,2787,0.421,241,0.036
MT,BLAINE,30,005,1702,0.582,1139,0.390,83,0.028
MT,DANIELS,30,019,343,0.320,694,0.647,36,0.034
ND,PEMBINA,38,067,1494,0.452,1722,0.521,91,0.028
MN,KITTSON,27,069,1492,0.581,1016,0.396,60,0.023
ND,TOWNER,38,095,621,0.519,536,0.448,40,0.033
ND,CAVALIER,38,019,930,0.437,1128,0.530,72,0.034
WA,OKANOGAN,53,047,7613,0.451,8798,0.521,459,0.027
WA,STEVENS,53,065,8499,0.380,13132,0.588,710,0.032
WA,PENDOREILLE,53,051,2562,0.391,3717,0.567,273,0.042
WA,FERRY,53,019,1467,0.419,1916,0.547,118,0.034
MT,LIBERTY,30,051,367,0.367,594,0.593,40,0.040
ND,DIVIDE,38,023,464,0.410,630,0.557,37,0.033
ND,BURKE,38,013,286,0.303,640,0.679,17,0.018
MT,TOOLE,30,101,737,0.347,1317,0.621,67,0.032
ND,RENVILLE,38,075,505,0.375,799,0.594,42,0.031
MN,ROSEAU,27,135,3097,0.402,4438,0.576,165,0.021
MT,SHERIDAN,30,091,953,0.475,987,0.492,66,0.033
ID,BONNER,16,017,7840,0.401,11145,0.570,562,0.029
ND,WARD,38,101,10144,0.396,15061,0.588,416,0.016
WA,SANJUAN,53,055,7374,0.700,2958,0.281,199,0.019
MN,KOOCHICHING,27,071,3649,0.536,2962,0.435,191,0.028
WA,SKAGIT,53,057,30053,0.538,24687,0.442,1146,0.020
ND,WILLIAMS,38,105,2921,0.312,6291,0.671,161,0.017
ND,MCHENRY,38,049,981,0.406,1374,0.569,61,0.025
MN,SAINTLOUIS,27,137,77351,0.651,38742,0.326,2721,0.023
MT,ROOSEVELT,30,085,2564,0.618,1473,0.355,113,0.027
WA,CHELAN,53,007,13781,0.431,17605,0.551,572,0.018
ND,MOUNTRAIL,38,061,1477,0.503,1406,0.479,55,0.019
MN,MARSHALL,27,089,2311,0.488,2285,0.482,143,0.030
ND,PIERCE,38,069,792,0.370,1301,0.608,46,0.021
ND,RAMSEY,38,071,2314,0.486,2361,0.496,87,0.018
ND,WALSH,38,099,2325,0.476,2415,0.495,142,0.029
MN,BELTRAMI,27,007,12019,0.540,9762,0.439,455,0.020
MT,PONDERA,30,073,1223,0.424,1588,0.550,74,0.026
WA,ISLAND,53,029,22058,0.523,19426,0.461,675,0.016
WA,CLALLAM,53,009,19470,0.505,18199,0.472,850,0.022
ND,BENSON,38,005,1569,0.672,733,0.314,32,0.014
MT,CHOUTEAU,30,015,1122,0.392,1634,0.571,105,0.037
WA,SNOHOMISH,53,061,187294,0.585,126722,0.396,6317,0.020
MT,SANDERS,30,089,1970,0.337,3563,0.609,316,0.054
MN,COOK,27,031,2019,0.603,1240,0.370,89,0.027
MI,KEWEENAW,26,083,610,0.433,756,0.536,44,0.031
MN,LAKE,27,075,4174,0.599,2636,0.378,159,0.023
ND,NELSON,38,063,907,0.518,800,0.457,45,0.026
ND,GRANDFORKS,38,035,16104,0.517,14520,0.466,529,0.017
MN,POLK,27,119,7850,0.512,7148,0.466,336,0.022
MN,PENNINGTON,27,113,3394,0.497,3248,0.476,180,0.026
MT,RICHLAND,30,083,1203,0.266,3184,0.705,129,0.029
WA,DOUGLAS,53,017,5848,0.385,9098,0.598,263,0.017
ND,MCKENZIE,38,053,933,0.344,1740,0.641,42,0.015
WA,JEFFERSON,53,031,13252,0.663,6330,0.317,409,0.020
MT,TETON,30,099,1294,0.395,1874,0.573,104,0.032
MT,MCCONE,30,055,1607,0.352,2822,0.618,138,0.030
ID,SHOSHONE,16,079,2521,0.445,2953,0.521,192,0.034
MT,LAKE,30,047,6766,0.486,6498,0.467,649,0.047
WA,SPOKANE,53,063,105786,0.482,108314,0.493,5411,0.025
MN,CLEARWATER,27,029,1877,0.440,2291,0.538,93,0.022
ID,KOOTENAI,16,055,22120,0.357,38387,0.620,1425,0.023
MT,GARFIELD,30,033,110,0.151,598,0.823,19,0.026
MN,REDLAKE,27,125,1120,0.511,983,0.449,88,0.040
WA,GRANT,53,025,9601,0.350,17153,0.625,684,0.025
WA,LINCOLN,53,043,2032,0.340,3803,0.636,142,0.024
MT,LEWISANDCLARK,30,049,17114,0.521,14966,0.455,793,0.024
WA,KITSAP,53,035,68624,0.552,53297,0.429,2416,0.019
MN,ITASCA,27,061,13460,0.552,10309,0.423,626,0.026
ND,MCLEAN,38,055,1867,0.394,2767,0.584,102,0.021
ND,EDDY,38,027,583,0.500,548,0.470,34,0.029
ND,WELLS,38,103,841,0.354,1468,0.618,68,0.029
ND,SHERIDAN,38,083,229,0.285,555,0.691,19,0.024
ND,DUNN,38,025,527,0.321,1080,0.657,37,0.022
MT,FERGUS,30,027,1933,0.310,4108,0.659,191,0.031
MT,DAWSON,30,021,1593,0.359,2639,0.595,200,0.045
WA,KING,53,033,648230,0.703,259716,0.282,14086,0.015
MT,CASCADE,30,013,17664,0.499,16857,0.476,867,0.025
ND,STEELE,38,091,614,0.595,404,0.391,14,0.014
ND,GRIGGS,38,039,598,0.455,682,0.519,34,0.026
ND,TRAILL,38,097,2136,0.529,1845,0.457,60,0.015
WA,MASON,53,045,15050,0.532,12600,0.445,656,0.023
MT,MISSOULA,30,063,36531,0.618,20743,0.351,1801,0.030
MT,POWELL,30,077,1021,0.363,1683,0.598,110,0.039
MT,PETROLEUM,30,069,68,0.227,227,0.757,5,0.017
WA,KITTITAS,53,037,8030,0.449,9471,0.530,367,0.020
ND,FOSTER,38,031,687,0.416,914,0.554,50,0.030
ND,MERCER,38,057,1476,0.336,2789,0.634,132,0.030
WA,GRAYSHARBOR,53,027,16354,0.560,12104,0.415,726,0.025
MN,MAHNOMEN,27,087,1436,0.613,843,0.360,64,0.027
MN,NORMAN,27,107,2129,0.620,1204,0.351,101,0.029
MT,MINERAL,30,061,845,0.424,1053,0.528,97,0.049
MN,CASS,27,021,7276,0.446,8660,0.531,371,0.023
ME,AROOSTOOK,23,003,19345,0.537,15898,0.442,751,0.021
MT,JUDITHBASIN,30,045,397,0.321,801,0.648,38,0.031
ID,BENEWAH,16,009,1407,0.338,2646,0.635,111,0.027
MN,HUBBARD,27,057,4872,0.419,6558,0.564,208,0.018
WA,PIERCE,53,053,181824,0.552,141673,0.430,6023,0.018
MT,WIBAUX,30,109,146,0.260,379,0.676,36,0.064
ND,BILLINGS,38,007,114,0.229,375,0.752,10,0.020
ND,GOLDENVALLEY,38,033,210,0.240,642,0.734,23,0.026
ND,KIDDER,38,043,422,0.344,752,0.612,54,0.044
ND,STUTSMAN,38,093,4056,0.415,5499,0.562,229,0.023
ND,BURLEIGH,38,015,15600,0.373,25443,0.609,729,0.018
ND,OLIVER,38,065,332,0.319,682,0.656,26,0.025
MI,HOUGHTON,26,061,7476,0.468,8101,0.507,395,0.025
WA,ADAMS,53,001,1552,0.320,3222,0.663,84,0.017
WA,WHITMAN,53,075,9070,0.516,8104,0.461,415,0.024
ND,BARNES,38,003,2741,0.481,2826,0.496,127,0.022
ND,CASS,38,017,37622,0.527,32566,0.456,1231,0.017
WA,THURSTON,53,067,75882,0.599,48366,0.382,2461,0.019
MT,PRAIRIE,30,079,211,0.287,503,0.684,21,0.029
MN,BECKER,27,005,7687,0.453,8851,0.522,427,0.025
MN,CLAY,27,027,16666,0.570,11978,0.409,615,0.021
ID,LATAH,16,057,9195,0.519,7988,0.451,531,0.030
WA,YAKIMA,53,077,33792,0.439,41946,0.544,1324,0.017
MT,MEAGHER,30,059,298,0.308,624,0.646,44,0.045
WI,ASHLAND,55,003,5818,0.679,2634,0.307,122,0.014
MN,AITKIN,27,001,4595,0.488,4589,0.488,226,0.024
MI,ONTONAGON,26,131,1966,0.506,1823,0.469,96,0.025
ND,STARK,38,089,3802,0.344,7024,0.635,244,0.022
WI,BAYFIELD,55,007,5972,0.631,3365,0.355,131,0.014
ND,MORTON,38,059,5079,0.383,7869,0.593,316,0.024
MI,MARQUETTE,26,103,19635,0.592,12906,0.389,644,0.019
MI,BARAGA,26,013,1725,0.473,1846,0.507,73,0.020
ID,CLEARWATER,16,035,1211,0.310,2569,0.658,126,0.032
MT,CUSTER,30,017,2267,0.416,3047,0.559,138,0.025
MT,ROSEBUD,30,087,1919,0.504,1768,0.464,123,0.032
MT,GRANITE,30,039,601,0.350,1013,0.591,101,0.059
MN,WADENA,27,159,2882,0.402,4128,0.576,159,0.022
MN,CROWWING,27,035,15859,0.451,18567,0.528,739,0.021
WA,PACIFIC,53,049,6094,0.557,4555,0.416,288,0.026
WA,LEWIS,53,041,13624,0.393,20278,0.584,803,0.023
MT,BROADWATER,30,007,365,0.318,756,0.658,28,0.024
MI,CHIPPEWA,26,033,8184,0.490,8267,0.495,257,0.015
MN,CARLTON,27,017,11501,0.623,6549,0.355,399,0.022
MI,GOGEBIC,26,053,4757,0.576,3330,0.403,177,0.021
MT,MUSSELSHELL,30,065,636,0.276,1581,0.686,89,0.039
MI,LUCE,26,095,1191,0.435,1490,0.544,59,0.021
WI,DOUGLAS,55,031,15830,0.658,7835,0.326,401,0.017
MT,GOLDENVALLEY,30,037,124,0.253,343,0.699,24,0.049
MT,WHEATLAND,30,107,289,0.295,657,0.670,35,0.036
WA,FRANKLIN,53,021,7361,0.374,12037,0.611,298,0.015
WA,BENTON,53,005,26288,0.360,45345,0.622,1278,0.018
MN,OTTERTAIL,27,111,13856,0.424,18077,0.553,754,0.023
ND,GRANT,38,037,280,0.211,587,0.442,462,0.348
WA,GARFIELD,53,023,385,0.280,968,0.705,20,0.015
MI,ALGER,26,003,2472,0.520,2188,0.461,90,0.019
MT,FALLON,30,025,318,0.222,1064,0.743,50,0.035
ID,IDAHO,16,049,2017,0.246,5895,0.718,298,0.036
MT,RAVALLI,30,081,8400,0.380,13002,0.589,681,0.031
ND,EMMONS,38,029,546,0.297,1230,0.670,61,0.033
ND,LOGAN,38,047,299,0.283,726,0.687,32,0.030
ID,NEZPERCE,16,069,7123,0.400,10357,0.581,343,0.019
ND,SLOPE,38,087,106,0.258,297,0.723,8,0.019
ND,LAMOURE,38,045,868,0.387,1310,0.585,63,0.028
ND,HETTINGER,38,041,406,0.301,893,0.662,49,0.036
MN,WILKIN,27,167,1550,0.454,1786,0.523,78,0.023
ND,RANSOM,38,073,1371,0.564,998,0.410,64,0.026
ND,RICHLAND,38,077,3513,0.465,3900,0.516,150,0.020
WA,COLUMBIA,53,013,686,0.308,1499,0.673,43,0.019
WA,WALLAWALLA,53,071,10081,0.408,14182,0.574,464,0.019
WI,IRON,55,051,1914,0.558,1464,0.427,54,0.016
ME,SOMERSET,23,025,13335,0.518,11867,0.461,556,0.022
ME,PISCATAQUIS,23,021,4430,0.470,4785,0.507,219,0.023
MT,JEFFERSON,30,043,2582,0.407,3538,0.558,220,0.035
MI,SCHOOLCRAFT,26,153,2184,0.505,2058,0.476,84,0.019
MT,YELLOWSTONE,30,111,32038,0.455,36483,0.518,1895,0.027
MT,TREASURE,30,103,156,0.321,314,0.646,16,0.033
ID,LEWIS,16,061,479,0.266,1275,0.707,50,0.028
WA,ASOTIN,53,003,4139,0.423,5451,0.557,190,0.019
ND,SIOUX,38,085,1145,0.831,215,0.156,18,0.013
MI,IRON,26,071,3080,0.500,2947,0.478,135,0.022
MN,PINE,27,115,7084,0.492,6862,0.477,437,0.030
ME,PENOBSCOT,23,019,41514,0.517,37495,0.466,1358,0.017
WA,SKAMANIA,53,059,2817,0.513,2524,0.460,149,0.027
WA,COWLITZ,53,015,24597,0.544,19554,0.432,1078,0.024
WA,WAHKIAKUM,53,069,1121,0.489,1105,0.482,68,0.030
MN,TODD,27,153,5277,0.430,6637,0.541,343,0.028
MN,MORRISON,27,097,6547,0.391,9735,0.581,461,0.028
WI,VILAS,55,125,6491,0.472,7055,0.513,204,0.015
OR,CLATSOP,41,007,10701,0.577,7192,0.388,655,0.035
ND,ADAMS,38,001,435,0.342,788,0.620,48,0.038
ND,SARGENT,38,081,1115,0.579,778,0.404,34,0.018
ND,MCINTOSH,38,051,579,0.378,916,0.598,37,0.024
ND,DICKEY,38,021,1044,0.399,1525,0.582,51,0.019
ND,BOWMAN,38,011,478,0.291,1107,0.675,55,0.034
MT,DEERLODGE,30,023,3402,0.670,1502,0.296,170,0.034
MI,DICKINSON,26,043,5995,0.450,7049,0.530,267,0.020
MI,MACKINAC,26,097,3027,0.473,3268,0.511,101,0.016
MN,MILLELACS,27,095,6072,0.448,7049,0.520,423,0.031
MT,SWEETGRASS,30,097,541,0.260,1494,0.717,48,0.023
MT,GALLATIN,30,031,24205,0.503,22578,0.469,1372,0.029
MT,PARK,30,067,4173,0.469,4376,0.492,343,0.039
MT,SILVERBOW,30,093,11676,0.688,4818,0.284,471,0.028
OR,COLUMBIA,41,009,13390,0.541,10413,0.420,965,0.039
MN,KANABEC,27,065,3743,0.440,4479,0.527,277,0.033
WI,BURNETT,55,013,4337,0.499,4200,0.483,151,0.017
MI,DELTA,26,041,9974,0.523,8763,0.460,327,0.017
WI,SAWYER,55,113,4765,0.525,4199,0.462,121,0.013
WI,WASHBURN,55,129,4693,0.515,4303,0.472,116,0.013
MT,CARTER,30,011,111,0.155,573,0.801,31,0.043
MT,STILLWATER,30,095,1512,0.324,2991,0.641,164,0.035
MN,GRANT,27,051,1850,0.513,1646,0.457,109,0.030
MN,DOUGLAS,27,041,9256,0.443,11241,0.537,421,0.020
WI,FOREST,55,041,2673,0.571,1963,0.419,47,0.010
WA,CLARK,53,011,95356,0.522,84212,0.461,3196,0.018
WA,KLICKITAT,53,039,4965,0.488,4944,0.486,255,0.025
MT,BIGHORN,30,003,3516,0.674,1628,0.312,74,0.014
MN,TRAVERSE,27,155,1043,0.512,933,0.459,59,0.029
WI,FLORENCE,55,037,1134,0.422,1512,0.563,39,0.014
OR,UMATILLA,41,059,9484,0.372,15254,0.598,785,0.031
OR,WALLOWA,41,063,1492,0.334,2836,0.635,137,0.031
MI,MENOMINEE,26,109,5981,0.540,4855,0.439,236,0.021
WI,PRICE,55,099,4559,0.556,3461,0.422,174,0.021
SD,PERKINS,46,105,499,0.296,1102,0.654,85,0.050
SD,CORSON,46,031,837,0.595,535,0.380,34,0.024
SD,HARDING,46,063,135,0.184,575,0.783,24,0.033
SD,CAMPBELL,46,021,243,0.284,591,0.692,20,0.023
MT,BEAVERHEAD,30,001,1617,0.340,3008,0.631,138,0.029
SD,MCPHERSON,46,089,441,0.321,915,0.665,19,0.014
SD,BROWN,46,013,9041,0.519,8067,0.463,318,0.018
SD,ROBERTS,46,109,2672,0.589,1781,0.393,83,0.018
SD,MARSHALL,46,091,1261,0.576,900,0.411,30,0.014
OR,MORROW,41,049,1410,0.347,2509,0.618,139,0.034
WI,ONEIDA,55,085,11907,0.543,9630,0.439,390,0.018
OR,UNION,41,061,4613,0.366,7581,0.602,400,0.032
MT,MADISON,30,057,321,0.294,726,0.665,44,0.040
MI,CHARLEVOIX,26,029,6817,0.475,7306,0.509,244,0.017
MN,BENTON,27,009,8454,0.437,10338,0.535,547,0.028
OR,GILLIAM,41,021,430,0.387,648,0.584,32,0.029
WI,MARINETTE,55,075,11195,0.527,9726,0.458,334,0.016
MT,POWDERRIVER,30,075,208,0.200,802,0.773,28,0.027
MI,EMMET,26,047,8515,0.469,9314,0.513,320,0.018
MI,CHEBOYGAN,26,031,6720,0.483,6920,0.498,261,0.019
OR,TILLAMOOK,41,057,7072,0.532,5757,0.433,468,0.035
OR,WASHINGTON,41,067,141544,0.598,89185,0.377,5903,0.025
MN,STEARNS,27,145,35690,0.453,41194,0.523,1872,0.024
MN,STEVENS,27,149,2781,0.494,2710,0.481,143,0.025
MN,POPE,27,121,3317,0.507,3069,0.470,150,0.023
OR,SHERMAN,41,055,385,0.368,634,0.605,28,0.027
MN,ISANTI,27,059,8248,0.411,11324,0.565,481,0.024
MN,CHISAGO,27,025,12783,0.436,15789,0.539,733,0.025
WI,POLK,55,095,10876,0.480,11282,0.498,485,0.021
OR,MULTNOMAH,41,051,279696,0.767,75171,0.206,9843,0.027
OR,HOODRIVER,41,027,6302,0.641,3265,0.332,263,0.027
OR,WASCO,41,065,5906,0.519,5103,0.448,371,0.033
ID,LEMHI,16,059,1061,0.259,2938,0.716,106,0.026
ME,WASHINGTON,23,029,8246,0.495,8077,0.485,331,0.020
ME,FRANKLIN,23,007,10113,0.589,6627,0.386,438,0.025
MI,PRESQUEISLE,26,141,3722,0.496,3606,0.480,177,0.024
WI,BARRON,55,005,12078,0.528,10457,0.457,351,0.015
WI,RUSK,55,107,3855,0.530,3253,0.447,164,0.023
MT,CARBON,30,009,2443,0.425,3108,0.541,195,0.034
SD,WALWORTH,46,129,923,0.348,1668,0.629,59,0.022
SD,EDMUNDS,46,045,819,0.395,1213,0.584,44,0.021
SD,DAY,46,037,1785,0.557,1372,0.428,48,0.015
MN,BIGSTONE,27,011,1552,0.519,1362,0.455,76,0.025
MN,SHERBURNE,27,141,17957,0.399,26140,0.581,893,0.020
WI,LINCOLN,55,069,8424,0.552,6519,0.427,325,0.021
MI,LEELANAU,26,089,7355,0.509,6938,0.480,171,0.012
SD,DEWEY,46,041,1328,0.658,659,0.326,32,0.016
SD,ZIEBACH,46,137,554,0.622,312,0.350,25,0.028
WI,LANGLADE,55,067,5182,0.498,5081,0.488,139,0.013
OR,CLACKAMAS,41,005,103476,0.539,83595,0.436,4807,0.025
OR,YAMHILL,41,071,20797,0.478,21390,0.491,1339,0.031
MN,WRIGHT,27,171,26343,0.402,37779,0.576,1456,0.022
WI,DOOR,55,029,10142,0.580,7112,0.407,227,0.013
MN,ANOKA,27,003,86976,0.477,91357,0.501,3891,0.021
MN,KANDIYOHI,27,067,10125,0.462,11319,0.517,451,0.021
MN,SWIFT,27,151,2907,0.554,2184,0.416,153,0.029
WI,TAYLOR,55,119,4563,0.488,4586,0.491,197,0.021
WI,OCONTO,55,083,9927,0.523,8755,0.462,286,0.015
ME,OXFORD,23,017,17940,0.567,12863,0.406,847,0.027
SD,GRANT,46,051,1786,0.466,1951,0.509,93,0.024
MN,MEEKER,27,093,5380,0.429,6737,0.537,428,0.034
NH,COOS,33,007,9532,0.586,6558,0.403,169,0.010
MN,WASHINGTON,27,163,70277,0.513,64334,0.469,2448,0.018
WI,CHIPPEWA,55,017,16239,0.537,13492,0.446,500,0.017
OR,MARION,41,047,61816,0.496,59059,0.474,3688,0.030
ID,ADAMS,16,003,728,0.314,1517,0.654,75,0.032
MN,LACQUIPARLE,27,073,2160,0.515,1912,0.456,120,0.029
ME,HANCOCK,23,009,18895,0.587,12686,0.394,584,0.018
SD,POTTER,46,107,482,0.335,937,0.651,21,0.015
SD,FAULK,46,049,426,0.357,739,0.620,27,0.023
MN,HENNEPIN,27,053,420958,0.634,231054,0.348,11768,0.018
SD,SPINK,46,115,1550,0.474,1660,0.508,59,0.018
ID,VALLEY,16,085,2405,0.454,2772,0.523,119,0.022
SD,BUTTE,46,019,1306,0.307,2821,0.663,129,0.030
WI,SAINTCROIX,55,109,21177,0.472,22837,0.510,807,0.018
WI,DUNN,55,033,13002,0.566,9566,0.416,421,0.018
MI,ALPENA,26,007,7705,0.511,7125,0.472,255,0.017
MI,ANTRIM,26,009,6079,0.439,7506,0.542,267,0.019
MI,OTSEGO,26,137,5634,0.447,6752,0.535,230,0.018
MI,MONTMORENCY,26,119,2403,0.448,2841,0.530,116,0.022
SD,CLARK,46,025,830,0.428,1065,0.549,45,0.023
SD,CODINGTON,46,029,5595,0.459,6374,0.523,216,0.018
MN,CHIPPEWA,27,023,3280,0.516,2907,0.457,169,0.027
MN,RAMSEY,27,123,182974,0.660,88942,0.321,5470,0.020
WI,MARATHON,55,073,36367,0.535,30345,0.447,1228,0.018
WI,MENOMINEE,55,078,1257,0.868,185,0.128,6,0.004
OR,BAKER,41,001,2805,0.320,5650,0.644,322,0.037
OR,POLK,41,053,17536,0.484,17714,0.489,957,0.026
OR,WHEELER,41,069,281,0.346,498,0.613,33,0.041
OR,LINCOLN,41,041,14258,0.597,8791,0.368,840,0.035
SD,MEADE,46,093,3751,0.323,7515,0.647,340,0.029
WI,CLARK,55,019,7454,0.525,6383,0.450,350,0.025
WI,SHAWANO,55,115,10259,0.511,9538,0.475,292,0.014
VT,FRANKLIN,50,011,13179,0.614,7853,0.366,428,0.020
VT,ESSEX,50,009,1733,0.559,1284,0.414,84,0.027
VT,GRANDISLE,50,013,2694,0.631,1490,0.349,85,0.020
NY,SAINTLAWRENCE,36,089,23706,0.574,16956,0.410,664,0.016
NY,CLINTON,36,019,20216,0.606,12579,0.377,542,0.016
VT,ORLEANS,50,019,7998,0.626,4482,0.351,291,0.023
WY,PARK,56,029,3757,0.251,10839,0.723,389,0.026
WY,BIGHORN,56,003,1108,0.209,4045,0.762,157,0.030
WY,CAMPBELL,56,005,2990,0.183,13011,0.797,319,0.019
WY,SHERIDAN,56,033,4458,0.298,10177,0.679,346,0.023
NY,FRANKLIN,36,033,10571,0.603,6676,0.381,273,0.016
WY,CROOK,56,011,612,0.166,2967,0.806,104,0.028
OR,GRANT,41,023,1006,0.257,2785,0.713,118,0.030
MI,GRANDTRAVERSE,26,055,23258,0.477,24716,0.507,759,0.016
MN,MCLEOD,27,085,7505,0.394,10993,0.578,531,0.028
MN,CARVER,27,019,20654,0.416,28156,0.567,873,0.018
SD,DEUEL,46,039,1054,0.475,1088,0.490,76,0.034
MN,YELLOWMEDICINE,27,173,2816,0.506,2579,0.463,174,0.031
MN,DAKOTA,27,037,116778,0.518,104364,0.463,4330,0.019
SD,SULLY,46,119,233,0.280,581,0.698,19,0.023
SD,HYDE,46,069,226,0.288,547,0.697,12,0.015
SD,HAND,46,059,718,0.357,1247,0.620,46,0.023
MN,RENVILLE,27,129,3904,0.480,3956,0.486,275,0.034
ID,CUSTER,16,037,611,0.260,1694,0.720,47,0.020
WI,PIERCE,55,093,11803,0.534,9812,0.444,492,0.022
MI,ALCONA,26,001,2896,0.451,3404,0.530,120,0.019
MI,KALKASKA,26,079,3780,0.445,4527,0.533,192,0.023
MI,CRAWFORD,26,039,3441,0.479,3561,0.496,176,0.025
WI,EAUCLAIRE,55,035,33146,0.603,20959,0.381,905,0.017
MI,OSCODA,26,135,1887,0.436,2320,0.536,121,0.028
ID,WASHINGTON,16,087,1241,0.275,3168,0.703,97,0.021
OR,JEFFERSON,41,031,3682,0.443,4402,0.529,234,0.028
MN,SCOTT,27,139,29208,0.435,36724,0.547,1200,0.018
SD,HAMLIN,46,057,1043,0.374,1661,0.596,83,0.030
VT,LAMOILLE,50,015,8914,0.704,3515,0.278,239,0.019
OR,LINN,41,043,22163,0.426,28071,0.540,1748,0.034
SD,STANLEY,46,117,510,0.328,1017,0.655,26,0.017
MI,BENZIE,26,019,5451,0.529,4687,0.455,171,0.017
VT,CALEDONIA,50,005,8900,0.604,5472,0.371,356,0.024
ME,WALDO,23,027,11967,0.548,9423,0.431,460,0.021
ID,FREMONT,16,043,1065,0.181,4700,0.799,115,0.020
SD,HAAKON,46,055,187,0.162,939,0.814,27,0.023
VT,CHITTENDEN,50,007,59611,0.714,22237,0.266,1592,0.019
OR,BENTON,41,003,29901,0.643,15264,0.328,1313,0.028
ME,KENNEBEC,23,011,37238,0.564,27482,0.416,1266,0.019
MN,SIBLEY,27,143,2998,0.388,4492,0.581,239,0.031
MN,GOODHUE,27,049,12420,0.481,12775,0.495,600,0.023
MN,REDWOOD,27,127,3250,0.416,4308,0.552,248,0.032
WI,PORTAGE,55,097,24817,0.630,13810,0.350,795,0.020
WI,WOOD,55,141,21710,0.556,16581,0.425,761,0.019
WI,BROWN,55,009,67269,0.539,55854,0.448,1631,0.013
WI,PEPIN,55,091,2102,0.557,1616,0.428,53,0.014
WI,WAUPACA,55,135,12952,0.508,12232,0.480,327,0.013
WI,KEWAUNEE,55,061,5902,0.547,4711,0.437,174,0.016
WY,TETON,56,039,7472,0.607,4565,0.371,279,0.023
SD,BEADLE,46,005,3493,0.453,4054,0.525,167,0.022
MN,LINCOLN,27,081,1517,0.485,1491,0.477,118,0.038
MN,LYON,27,083,6110,0.481,6315,0.497,283,0.022
SD,LAWRENCE,46,081,4932,0.409,6787,0.563,336,0.028
WI,BUFFALO,55,011,3949,0.564,2923,0.418,128,0.018
WI,TREMPEALEAU,55,121,8321,0.625,4808,0.361,185,0.014
WI,JACKSON,55,053,5572,0.602,3552,0.384,127,0.014
WI,OUTAGAMIE,55,087,50294,0.549,39677,0.433,1592,0.017
ID,CLARK,16,033,64,0.171,305,0.813,6,0.016
WY,JOHNSON,56,019,908,0.209,3334,0.766,112,0.026
OR,CROOK,41,013,3632,0.351,6371,0.615,349,0.034
SD,HUGHES,46,065,3037,0.359,5298,0.626,133,0.016
NY,ESSEX,36,031,10390,0.559,7913,0.425,292,0.016
MN,LESUEUR,27,079,6994,0.466,7636,0.509,379,0.025
MN,RICE,27,131,17381,0.547,13723,0.432,695,0.022
SD,KINGSBURY,46,077,1277,0.459,1435,0.515,72,0.026
SD,BROOKINGS,46,011,7207,0.517,6431,0.461,307,0.022
MI,MANISTEE,26,101,7235,0.556,5510,0.424,264,0.020
MI,WEXFORD,26,165,7379,0.470,8044,0.512,281,0.018
MI,ROSCOMMON,26,143,7082,0.504,6727,0.479,242,0.017
MI,MISSAUKEE,26,113,2898,0.387,4469,0.597,125,0.017
MI,IOSCO,26,069,7309,0.515,6583,0.464,295,0.021
MI,OGEMAW,26,129,5391,0.501,5133,0.477,244,0.023
ID,GEM,16,045,2166,0.273,5585,0.703,196,0.025
SD,PENNINGTON,46,103,17802,0.385,27603,0.596,875,0.019
VT,WASHINGTON,50,023,22324,0.693,9129,0.284,747,0.023
MN,BROWN,27,015,5809,0.426,7456,0.547,355,0.026
ME,ANDROSCOGGIN,23,001,31017,0.566,22671,0.413,1162,0.021
MN,NICOLLET,27,103,9887,0.542,7968,0.437,390,0.021
MN,WABASHA,27,157,5646,0.475,5935,0.499,312,0.026
OR,MALHEUR,41,045,2949,0.283,7157,0.686,327,0.031
NH,GRAFTON,33,009,31446,0.634,17687,0.357,469,0.009
OR,DESCHUTES,41,017,38819,0.487,39064,0.490,1899,0.024
NY,JEFFERSON,36,045,18166,0.467,20220,0.520,500,0.013
ME,KNOX,23,013,13728,0.597,8816,0.384,436,0.019
ID,BOISE,16,015,1240,0.329,2433,0.645,100,0.026
ME,LINCOLN,23,015,11886,0.551,9287,0.430,411,0.019
WI,MANITOWOC,55,071,22428,0.529,19234,0.454,752,0.018
VT,ADDISON,50,001,13202,0.686,5667,0.295,369,0.019
OR,LANE,41,039,114037,0.624,63835,0.349,5038,0.028
NH,CARROLL,33,003,15221,0.526,13387,0.463,302,0.010
MN,BLUEEARTH,27,013,19325,0.551,14782,0.421,963,0.028
WI,JUNEAU,55,057,6186,0.536,5148,0.447,196,0.017
WI,ADAMS,55,001,5806,0.581,3974,0.398,206,0.021
