STATE,COUNTY,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,MCCAIN_VOTES,MCCAIN_%,OTHER_VOTES,OTHER_%
GA,DOUGHERTY,13,095,26135,0.673,12547,0.323,164,0.004
GA,CALHOUN,13,037,1342,0.607,862,0.390,7,0.003
AL,DALE,01,045,5270,0.273,13886,0.719,164,0.009
AL,COFFEE,01,031,5079,0.252,14919,0.741,130,0.007
MS,FRANKLIN,28,037,1733,0.370,2909,0.621,43,0.009
TX,SABINE,48,403,1077,0.221,3749,0.769,48,0.010
GA,TIFT,13,277,4749,0.333,9431,0.662,77,0.005
TX,HOUSTON,48,225,2656,0.308,5872,0.681,96,0.011
TX,CONCHO,48,095,257,0.239,807,0.749,13,0.012
GA,PIERCE,13,229,1253,0.185,5500,0.810,38,0.006
AL,COVINGTON,01,039,3240,0.205,12444,0.788,103,0.007
TX,IRION,48,235,164,0.201,644,0.788,9,0.011
TX,ANGELINA,48,005,9379,0.322,19569,0.671,205,0.007
GA,EARLY,13,099,2603,0.488,2711,0.508,21,0.004
TX,FALLS,48,145,2225,0.397,3328,0.594,46,0.008
LA,RAPIDES,22,079,20127,0.350,36611,0.636,783,0.014
TX,MCCULLOCH,48,307,728,0.242,2263,0.752,19,0.006
TX,SANSABA,48,411,487,0.198,1941,0.790,29,0.012
GA,BERRIEN,13,019,1471,0.228,4901,0.760,77,0.012
GA,WARE,13,299,4034,0.325,8311,0.669,71,0.006
TX,LAMPASAS,48,281,1903,0.249,5651,0.740,80,0.011
GA,GLYNN,13,127,12676,0.380,20479,0.614,186,0.006
GA,BAKER,13,007,846,0.502,828,0.491,13,0.008
GA,MITCHELL,13,205,3872,0.477,4201,0.517,47,0.006
MS,GREENE,28,041,1366,0.236,4361,0.753,62,0.011
MS,FORREST,28,035,11622,0.427,15296,0.563,266,0.010
MS,LAMAR,28,073,5159,0.216,18497,0.774,254,0.011
MS,PERRY,28,111,1533,0.271,4067,0.718,64,0.011
MS,MARION,28,091,4422,0.340,8513,0.654,75,0.006
GA,ATKINSON,13,003,938,0.323,1941,0.668,25,0.009
TX,TRINITY,48,455,1925,0.317,4095,0.674,57,0.009
TX,PECOS,48,371,1476,0.368,2480,0.619,54,0.014
GA,BRANTLEY,13,025,1119,0.178,5080,0.809,78,0.012
MS,WILKINSON,28,157,3534,0.688,1560,0.304,45,0.009
LA,VERNON,22,115,3534,0.224,11946,0.758,289,0.018
TX,ROBERTSON,48,395,2675,0.399,3980,0.593,55,0.008
GA,COOK,13,075,2075,0.352,3782,0.641,46,0.008
MS,AMITE,28,005,3348,0.438,4245,0.555,57,0.007
MS,PIKE,28,113,9276,0.514,8651,0.479,128,0.007
MS,WALTHALL,28,147,3456,0.444,4253,0.547,71,0.009
LA,AVOYELLES,22,009,6327,0.373,10236,0.604,375,0.022
GA,COLQUITT,13,071,4139,0.308,9185,0.684,111,0.008
TX,BELL,48,027,40413,0.447,49242,0.545,679,0.007
AL,BALDWIN,01,003,19386,0.238,61271,0.753,756,0.009
AL,HOUSTON,01,069,12225,0.293,29254,0.701,256,0.006
AL,ESCAMBIA,01,053,5188,0.354,9375,0.639,111,0.008
GA,MILLER,13,201,818,0.299,1899,0.694,21,0.008
AL,GENEVA,01,061,2134,0.183,9417,0.808,106,0.009
TX,NEWTON,48,351,1751,0.333,3446,0.655,63,0.012
GA,CLINCH,13,065,989,0.367,1678,0.622,29,0.011
GA,LANIER,13,173,1062,0.370,1787,0.622,24,0.008
AL,MOBILE,01,097,82181,0.453,98049,0.540,1194,0.007
GA,CAMDEN,13,039,6482,0.379,10502,0.615,100,0.006
TX,JASPER,48,241,3658,0.286,9022,0.706,96,0.007
TX,POLK,48,373,6230,0.309,13731,0.682,188,0.009
TX,MILAM,48,331,3044,0.364,5217,0.624,96,0.011
TX,JEFFDAVIS,48,243,468,0.379,749,0.606,19,0.015
TX,MADISON,48,313,1146,0.281,2891,0.710,37,0.009
TX,MENARD,48,327,295,0.290,712,0.699,11,0.011
TX,SCHLEICHER,48,413,324,0.249,970,0.744,10,0.008
TX,CROCKETT,48,105,512,0.331,1026,0.664,7,0.005
GA,DECATUR,13,087,4424,0.427,5890,0.568,60,0.006
GA,GRADY,13,131,3539,0.378,5775,0.617,51,0.005
GA,BROOKS,13,027,2669,0.430,3507,0.566,25,0.004
GA,THOMAS,13,275,7720,0.418,10642,0.577,97,0.005
GA,SEMINOLE,13,253,1660,0.415,2315,0.579,21,0.005
GA,CHARLTON,13,049,1197,0.325,2466,0.669,22,0.006
TX,TYLER,48,457,2166,0.274,5644,0.713,100,0.013
TX,WALKER,48,471,7334,0.383,11623,0.607,189,0.010
LA,WESTFELICIANA,22,125,2415,0.430,3150,0.560,55,0.010
TX,BURNET,48,053,4608,0.273,12059,0.714,226,0.013
GA,LOWNDES,13,185,17597,0.450,21269,0.544,212,0.005
LA,POINTECOUPEE,22,077,5516,0.444,6702,0.539,217,0.018
MS,PEARLRIVER,28,109,4320,0.193,17881,0.797,242,0.011
LA,WASHINGTON,22,117,6122,0.329,12215,0.656,287,0.015
LA,EVANGELINE,22,039,5853,0.366,9793,0.613,330,0.021
FL,JACKSON,12,063,7671,0.356,13717,0.636,177,0.008
LA,TANGIPAHOA,22,105,16438,0.338,31434,0.647,730,0.015
FL,ESCAMBIA,12,033,61572,0.399,91411,0.592,1464,0.009
FL,SANTAROSA,12,113,19470,0.256,55972,0.735,743,0.010
MS,GEORGE,28,039,1532,0.164,7700,0.825,103,0.011
LA,SAINTHELENA,22,091,3567,0.577,2522,0.408,95,0.015
FL,OKALOOSA,12,091,25872,0.271,68789,0.720,868,0.009
LA,EASTFELICIANA,22,037,4383,0.441,5432,0.546,132,0.013
FL,HOLMES,12,059,1446,0.168,7033,0.819,110,0.013
FL,WALTON,12,131,7174,0.265,19561,0.723,311,0.011
TX,BRAZOS,48,041,20502,0.349,37465,0.639,706,0.012
TX,MASON,48,319,546,0.257,1544,0.728,31,0.015
TX,LLANO,48,299,2250,0.234,7281,0.756,98,0.010
MS,STONE,28,131,1996,0.276,5149,0.711,101,0.014
TX,WILLIAMSON,48,491,67691,0.427,88323,0.558,2389,0.015
TX,SANJACINTO,48,407,2721,0.304,6151,0.687,86,0.010
LA,ALLEN,22,003,2891,0.305,6333,0.669,243,0.026
LA,BEAUREGARD,22,011,3071,0.218,10718,0.762,285,0.020
GA,ECHOLS,13,101,201,0.169,981,0.827,5,0.004
TX,GRIMES,48,185,2704,0.325,5562,0.668,56,0.007
LA,SAINTLANDRY,22,097,20268,0.477,21650,0.510,575,0.014
FL,WASHINGTON,12,133,2863,0.257,8178,0.735,90,0.008
FL,NASSAU,12,089,10618,0.277,27403,0.715,283,0.007
MS,JACKSON,28,059,17781,0.328,35993,0.663,522,0.010
TX,BURLESON,48,051,2053,0.308,4547,0.682,65,0.010
LA,EASTBATONROUGE,22,033,99652,0.505,95390,0.483,2307,0.012
LA,SAINTTAMMANY,22,103,24596,0.225,83078,0.758,1868,0.017
FL,GADSDEN,12,039,15582,0.692,6811,0.303,117,0.005
TX,KIMBLE,48,267,342,0.186,1487,0.807,14,0.008
TX,SUTTON,48,435,381,0.241,1189,0.753,8,0.005
FL,LEON,12,073,91747,0.617,55705,0.375,1156,0.008
MS,HARRISON,28,047,22673,0.366,38757,0.625,527,0.009
FL,JEFFERSON,12,065,4088,0.514,3797,0.477,72,0.009
TX,BREWSTER,48,043,1970,0.505,1855,0.476,75,0.019
LA,WESTBATONROUGE,22,121,5043,0.425,6654,0.561,169,0.014
TX,TERRELL,48,443,186,0.358,323,0.622,10,0.019
LA,LIVINGSTON,22,063,6681,0.131,43269,0.850,942,0.019
FL,MADISON,12,079,4270,0.479,4544,0.510,93,0.010
MS,HANCOCK,28,045,3768,0.221,13020,0.763,268,0.016
