STATE,COUNTY_NAME,STATE_FIPS,COUNTY_FIPS,OBAMA_VOTES,OBAMA_%,ROMNEY_VOTES,ROMNEY_%,OTHER_VOTES,OTHER_%
ND,WARD,38,101,8441,0.332,16230,0.637,792,0.031
ND,WELLS,38,103,673,0.283,1654,0.695,52,0.022
ND,WILLIAMS,38,105,2322,0.237,7184,0.732,302,0.031
OH,ADAMS,39,001,3976,0.359,6865,0.619,248,0.022
OH,ALLEN,39,003,17914,0.371,29502,0.612,820,0.017
OH,ASHLAND,39,005,8281,0.340,15519,0.638,530,0.022
OH,ASHTABULA,39,007,23803,0.553,18298,0.425,963,0.022
OH,ATHENS,39,009,18307,0.662,8543,0.309,788,0.029
OH,AUGLAIZE,39,011,5831,0.249,17169,0.734,405,0.017
OH,BELMONT,39,013,14156,0.448,16758,0.531,650,0.021
OH,BROWN,39,015,7107,0.366,11916,0.614,369,0.019
OH,BUTLER,39,017,62388,0.367,105176,0.618,2627,0.015
OH,CARROLL,39,019,5543,0.418,7315,0.552,404,0.030
OH,CHAMPAIGN,39,021,7044,0.382,11045,0.600,332,0.018
OH,CLARK,39,023,31298,0.488,31816,0.496,1030,0.016
OH,CLERMONT,39,025,30458,0.316,64208,0.667,1605,0.017
OH,CLINTON,39,027,5791,0.319,12009,0.662,343,0.019
OH,COLUMBIANA,39,029,19821,0.430,25251,0.548,979,0.021
OH,COSHOCTON,39,031,6940,0.441,8390,0.533,409,0.026
OH,CRAWFORD,39,033,7507,0.379,11852,0.598,444,0.022
OH,CUYAHOGA,39,035,447273,0.694,190660,0.296,6398,0.010
OH,DARKE,39,037,6826,0.269,18108,0.713,467,0.018
OH,DEFIANCE,39,039,7732,0.423,10176,0.556,380,0.021
OH,DELAWARE,39,041,37292,0.378,60194,0.610,1273,0.013
OH,FAIRFIELD,39,045,29890,0.415,41034,0.569,1144,0.016
OH,FAYETTE,39,047,4249,0.386,6620,0.601,151,0.014
OH,FRANKLIN,39,049,346373,0.607,215997,0.378,8658,0.015
OH,FULTON,39,051,9073,0.427,11738,0.552,457,0.021
OH,GALLIA,39,053,4557,0.362,7750,0.615,288,0.023
OH,GEAUGA,39,055,19659,0.385,30589,0.600,749,0.015
OH,GREENE,39,057,32256,0.386,49819,0.597,1414,0.017
OH,GUERNSEY,39,059,7450,0.443,8993,0.535,371,0.022
OH,HAMILTON,39,061,219927,0.525,193326,0.462,5641,0.013
OH,HANCOCK,39,063,12564,0.352,22443,0.629,687,0.019
OH,HARDIN,39,065,4619,0.371,7489,0.602,341,0.027
OH,HARRISON,39,067,2950,0.413,4019,0.563,172,0.024
OH,HENRY,39,069,5658,0.397,8257,0.580,321,0.023
OH,HIGHLAND,39,071,6054,0.339,11413,0.639,380,0.021
OH,HOCKING,39,073,6157,0.484,6285,0.494,286,0.022
OH,HOLMES,39,075,2608,0.226,8702,0.754,226,0.020
OH,HURON,39,077,11006,0.446,13060,0.530,597,0.024
OH,JACKSON,39,079,5166,0.386,7904,0.591,311,0.023
OH,JEFFERSON,39,081,15385,0.465,17034,0.515,650,0.020
OH,KNOX,39,083,10470,0.369,17266,0.609,609,0.021
OH,LAKE,39,085,57680,0.487,58744,0.496,1979,0.017
OH,LAWRENCE,39,087,10744,0.416,14651,0.567,438,0.017
OH,LICKING,39,089,34201,0.420,45503,0.559,1683,0.021
OH,LOGAN,39,091,7062,0.334,13633,0.645,442,0.021
OH,LORAIN,39,093,81464,0.569,59405,0.415,2383,0.017
OH,LUCAS,39,095,136616,0.650,69940,0.333,3662,0.017
OH,MADISON,39,097,6845,0.391,10342,0.590,330,0.019
OH,MAHONING,39,099,77059,0.635,42641,0.352,1608,0.013
OH,MARION,39,101,12504,0.457,14265,0.522,583,0.021
OH,MEDINA,39,103,38785,0.427,50418,0.555,1580,0.017
OH,MEIGS,39,105,4027,0.394,5895,0.577,296,0.029
OH,MERCER,39,107,4745,0.219,16561,0.765,355,0.016
OH,MIAMI,39,109,16383,0.315,34606,0.666,947,0.018
OH,MONROE,39,111,3035,0.448,3548,0.523,196,0.029
OH,MONTGOMERY,39,113,137139,0.515,124841,0.469,4298,0.016
OH,MORGAN,39,115,2814,0.459,3179,0.519,136,0.022
OH,MORROW,39,117,5933,0.367,9865,0.610,386,0.024
OH,MUSKINGUM,39,119,17002,0.458,19264,0.519,820,0.022
OH,NOBLE,39,121,2131,0.363,3563,0.607,178,0.030
OH,PAULDING,39,125,3538,0.388,5354,0.587,236,0.026
OH,PERRY,39,127,7033,0.469,7627,0.509,323,0.022
OH,PICKAWAY,39,129,9684,0.401,14037,0.582,402,0.017
OH,PIKE,39,131,5684,0.491,5685,0.491,212,0.018
OH,PORTAGE,39,133,39453,0.517,35242,0.462,1544,0.020
OH,PREBLE,39,135,6211,0.308,13535,0.671,421,0.021
OH,PUTNAM,39,137,4318,0.235,13721,0.747,332,0.018
OH,RICHLAND,39,139,22687,0.393,33867,0.587,1161,0.020
OH,ROSS,39,141,14569,0.484,15008,0.499,506,0.017
OH,SCIOTO,39,145,15077,0.484,15492,0.497,592,0.019
OH,SENECA,39,147,11353,0.449,13243,0.524,666,0.026
OH,SHELBY,39,149,6343,0.266,17142,0.718,381,0.016
OH,STARK,39,151,89432,0.493,88581,0.488,3464,0.019
OH,SUMMIT,39,153,153041,0.572,111001,0.415,3667,0.014
OH,TRUMBULL,39,155,61672,0.606,38279,0.376,1767,0.017
OH,TUSCARAWAS,39,157,18407,0.442,22242,0.534,964,0.023
OH,UNION,39,159,8805,0.344,16289,0.637,473,0.019
OH,VANWERT,39,161,4029,0.291,9585,0.692,229,0.017
OH,VINTON,39,163,2436,0.446,2856,0.522,175,0.032
OH,WARREN,39,165,32909,0.296,76564,0.690,1534,0.014
OH,WASHINGTON,39,167,11651,0.395,17284,0.586,564,0.019
OH,WAYNE,39,169,19808,0.388,30251,0.592,1005,0.020
OH,WILLIAMS,39,171,7266,0.410,10047,0.567,393,0.022
OH,WOOD,39,173,32802,0.513,29704,0.465,1442,0.023
OH,WYANDOT,39,175,4137,0.391,6180,0.585,255,0.024
OK,ADAIR,40,001,2127,0.327,4381,0.673,0,0.000
OK,ALFALFA,40,003,322,0.155,1761,0.845,0,0.000
OK,ATOKA,40,005,1243,0.260,3538,0.740,0,0.000
OK,BEAVER,40,007,244,0.106,2062,0.894,0,0.000
OK,BECKHAM,40,009,1417,0.205,5508,0.795,0,0.000
OK,BLAINE,40,011,992,0.260,2824,0.740,0,0.000
OK,BRYAN,40,013,3681,0.279,9520,0.721,0,0.000
OK,CADDO,40,015,3164,0.357,5687,0.643,0,0.000
OK,CANADIAN,40,017,10537,0.228,35625,0.772,0,0.000
OK,CARTER,40,019,4908,0.287,12214,0.713,0,0.000
OK,CHEROKEE,40,021,6144,0.429,8162,0.571,0,0.000
OK,CHOCTAW,40,023,1494,0.295,3572,0.705,0,0.000
OK,CIMARRON,40,025,115,0.096,1082,0.904,0,0.000
OK,CLEVELAND,40,027,34771,0.370,59116,0.630,0,0.000
OK,COAL,40,029,649,0.275,1710,0.725,0,0.000
OK,COMANCHE,40,031,12521,0.415,17664,0.585,0,0.000
OK,COTTON,40,033,657,0.268,1796,0.732,0,0.000
OK,CRAIG,40,035,1747,0.329,3559,0.671,0,0.000
OK,CREEK,40,037,7128,0.273,18986,0.727,0,0.000
OK,CUSTER,40,039,2359,0.241,7446,0.759,0,0.000
OK,DELAWARE,40,041,4196,0.294,10080,0.706,0,0.000
OK,DEWEY,40,043,301,0.144,1792,0.856,0,0.000
OK,ELLIS,40,045,226,0.125,1575,0.875,0,0.000
OK,GARFIELD,40,047,4733,0.238,15177,0.762,0,0.000
OK,GARVIN,40,049,2559,0.270,6925,0.730,0,0.000
OK,GRADY,40,051,4786,0.244,14833,0.756,0,0.000
OK,GRANT,40,053,393,0.190,1675,0.810,0,0.000
OK,GREER,40,055,488,0.266,1344,0.734,0,0.000
OK,HARMON,40,057,264,0.286,659,0.714,0,0.000
OK,HARPER,40,059,173,0.121,1261,0.879,0,0.000
OK,HASKELL,40,061,1175,0.277,3069,0.723,0,0.000
OK,HUGHES,40,063,1370,0.326,2838,0.674,0,0.000
OK,JACKSON,40,065,1954,0.247,5965,0.753,0,0.000
OK,JEFFERSON,40,067,605,0.270,1634,0.730,0,0.000
OK,JOHNSTON,40,069,1137,0.300,2649,0.700,0,0.000
OK,KAY,40,071,4627,0.287,11499,0.713,0,0.000
OK,KINGFISHER,40,073,898,0.156,4870,0.844,0,0.000
OK,KIOWA,40,075,1106,0.323,2316,0.677,0,0.000
OK,LATIMER,40,077,1170,0.308,2628,0.692,0,0.000
OK,LINCOLN,40,081,3273,0.255,9553,0.745,0,0.000
OK,LOGAN,40,083,4724,0.277,12314,0.723,0,0.000
OK,LOVE,40,085,1034,0.298,2436,0.702,0,0.000
OK,MAJOR,40,087,446,0.142,2700,0.858,0,0.000
OK,MARSHALL,40,089,1396,0.272,3744,0.728,0,0.000
OK,MAYES,40,091,4823,0.334,9637,0.666,0,0.000
OK,MURRAY,40,093,1540,0.299,3606,0.701,0,0.000
OK,MUSKOGEE,40,095,9952,0.426,13404,0.574,0,0.000
OK,MCCLAIN,40,097,3194,0.223,11112,0.777,0,0.000
OK,MCCURTAIN,40,099,2440,0.242,7635,0.758,0,0.000
OK,MCINTOSH,40,101,2779,0.381,4509,0.619,0,0.000
OK,NOBLE,40,103,1143,0.247,3488,0.753,0,0.000
OK,NOWATA,40,105,1244,0.305,2832,0.695,0,0.000
OK,OKFUSKEE,40,107,1256,0.350,2335,0.650,0,0.000
OK,OKLAHOMA,40,109,106982,0.417,149728,0.583,0,0.000
OK,OKMULGEE,40,111,5432,0.413,7731,0.587,0,0.000
OK,OSAGE,40,113,6704,0.374,11242,0.626,0,0.000
OK,OTTAWA,40,115,3509,0.352,6466,0.648,0,0.000
OK,PAWNEE,40,117,1813,0.300,4232,0.700,0,0.000
OK,PAYNE,40,119,9198,0.358,16481,0.642,0,0.000
OK,PITTSBURG,40,121,4831,0.308,10841,0.692,0,0.000
OK,PONTOTOC,40,123,3947,0.306,8945,0.694,0,0.000
OK,POTTAWATOMIE,40,125,7188,0.307,16250,0.693,0,0.000
OK,PUSHMATAHA,40,127,1043,0.253,3087,0.747,0,0.000
OK,ROGERMILLS,40,129,272,0.162,1402,0.838,0,0.000
OK,ROGERS,40,131,9148,0.249,27553,0.751,0,0.000
OK,SEMINOLE,40,133,2600,0.349,4856,0.651,0,0.000
OK,SEQUOYAH,40,135,4193,0.304,9578,0.696,0,0.000
OK,STEPHENS,40,137,3939,0.234,12908,0.766,0,0.000
OK,TEXAS,40,139,862,0.149,4930,0.851,0,0.000
OK,TILLMAN,40,141,906,0.333,1815,0.667,0,0.000
OK,TULSA,40,143,82744,0.363,145062,0.637,0,0.000
OK,WAGONER,40,145,7791,0.272,20900,0.728,0,0.000
OK,WASHINGTON,40,147,5532,0.261,15668,0.739,0,0.000
OK,WASHITA,40,149,822,0.190,3494,0.810,0,0.000
OK,WOODS,40,151,671,0.197,2727,0.803,0,0.000
OK,WOODWARD,40,153,1133,0.160,5945,0.840,0,0.000
OR,BAKER,41,001,2369,0.280,5702,0.675,377,0.045
OR,BENTON,41,003,27776,0.620,14991,0.335,2035,0.045
OR,CLACKAMAS,41,005,95493,0.504,88592,0.468,5247,0.028
OR,COLUMBIA,41,009,12004,0.503,10772,0.451,1099,0.046
OR,CROOK,41,013,3104,0.303,6790,0.664,336,0.033
OR,CURRY,41,015,4625,0.396,6598,0.565,455,0.039
OR,DESCHUTES,41,017,36961,0.451,42463,0.518,2476,0.030
OR,DOUGLAS,41,019,17145,0.344,30776,0.618,1882,0.038
OR,GILLIAM,41,021,371,0.350,639,0.602,51,0.048
OR,GRANT,41,023,853,0.218,2926,0.748,132,0.034
OR,HARNEY,41,025,832,0.232,2607,0.728,144,0.040
OR,HOODRIVER,41,027,6058,0.616,3429,0.349,351,0.036
OR,JACKSON,41,029,44468,0.458,49020,0.505,3639,0.037
OR,JEFFERSON,41,031,3301,0.404,4642,0.568,232,0.028
OR,JOSEPHINE,41,033,14953,0.372,23673,0.588,1612,0.040
OR,KLAMATH,41,035,8302,0.295,18898,0.671,952,0.034
OR,LAKE,41,037,770,0.208,2808,0.757,132,0.036
OR,LANE,41,039,102652,0.597,62509,0.364,6689,0.039
OR,LINN,41,043,20378,0.396,28944,0.563,2104,0.041
OR,MALHEUR,41,045,2759,0.277,6851,0.688,346,0.035
OR,MARION,41,047,56376,0.468,60190,0.500,3810,0.032
OR,MORROW,41,049,1202,0.310,2532,0.652,148,0.038
OR,MULTNOMAH,41,051,274887,0.754,75302,0.206,14533,0.040
OR,POLK,41,053,16292,0.462,17819,0.505,1146,0.033
OR,SHERMAN,41,055,319,0.311,678,0.661,29,0.028
OR,UMATILLA,41,059,8584,0.344,15499,0.621,886,0.035
OR,UNION,41,061,3973,0.329,7636,0.633,461,0.038
OR,WALLOWA,41,063,1253,0.298,2804,0.667,148,0.035
OR,WASCO,41,065,5211,0.479,5229,0.481,433,0.040
OR,WASHINGTON,41,067,135291,0.571,93974,0.396,7758,0.033
OR,WHEELER,41,069,266,0.310,545,0.635,47,0.055
OR,YAMHILL,41,071,19260,0.449,22045,0.514,1602,0.037
PA,ADAMS,42,001,15091,0.354,26767,0.628,759,0.018
PA,ALLEGHENY,42,003,352687,0.566,262039,0.421,8019,0.013
PA,ARMSTRONG,42,005,9045,0.308,19742,0.673,539,0.018
PA,BEAVER,42,007,37055,0.460,42344,0.526,1075,0.013
PA,BEDFORD,42,009,4788,0.221,16702,0.770,207,0.010
PA,BERKS,42,011,82987,0.487,84697,0.497,2607,0.015
PA,BLAIR,42,013,16276,0.325,32983,0.660,745,0.015
PA,BRADFORD,42,015,8624,0.368,14410,0.615,392,0.017
PA,BUCKS,42,017,160521,0.500,156579,0.488,3916,0.012
PA,BUTLER,42,019,28550,0.319,59761,0.668,1134,0.013
PA,CAMBRIA,42,021,24249,0.401,35163,0.581,1114,0.018
PA,CAMERON,42,023,724,0.341,1359,0.640,42,0.020
PA,CARBON,42,025,11580,0.453,13504,0.528,497,0.019
PA,CENTRE,42,027,34176,0.491,34001,0.488,1449,0.021
PA,CHESTER,42,029,124311,0.493,124840,0.495,2822,0.011
PA,CLARION,42,031,5056,0.312,10828,0.669,302,0.019
PA,CLEARFIELD,42,033,11121,0.346,20347,0.633,654,0.020
PA,CLINTON,42,035,5734,0.432,7303,0.551,228,0.017
PA,COLUMBIA,42,037,10937,0.427,14236,0.556,450,0.018
PA,CRAWFORD,42,039,13883,0.391,20901,0.589,730,0.021
PA,CUMBERLAND,42,041,44367,0.400,64809,0.585,1638,0.015
PA,DAUPHIN,42,043,63981,0.522,57118,0.466,1585,0.013
PA,ELK,42,047,5463,0.413,7579,0.573,196,0.015
PA,ERIE,42,049,68036,0.572,49025,0.412,1849,0.016
PA,FAYETTE,42,051,21971,0.452,26018,0.535,640,0.013
PA,FOREST,42,053,896,0.388,1383,0.598,33,0.014
PA,FRANKLIN,42,055,18995,0.301,43260,0.686,823,0.013
PA,FULTON,42,057,1310,0.211,4814,0.775,90,0.014
PA,GREENE,42,059,5852,0.405,8428,0.583,184,0.013
PA,HUNTINGDON,42,061,5409,0.306,11979,0.677,304,0.017
PA,INDIANA,42,063,14473,0.397,21257,0.584,700,0.019
PA,JEFFERSON,42,065,4787,0.264,13048,0.719,307,0.017
PA,JUNIATA,42,067,2547,0.265,6862,0.715,187,0.019
PA,LACKAWANNA,42,069,61496,0.631,34914,0.358,1092,0.011
PA,LANCASTER,42,071,88481,0.396,130669,0.585,4201,0.019
PA,LAWRENCE,42,073,17513,0.449,21047,0.539,476,0.012
PA,LEBANON,42,075,19312,0.351,34931,0.635,781,0.014
PA,LEHIGH,42,077,77986,0.533,66369,0.454,1845,0.013
PA,LUZERNE,42,079,64307,0.517,58325,0.469,1807,0.015
PA,LYCOMING,42,081,15203,0.326,30658,0.657,803,0.017
PA,MCKEAN,42,083,5297,0.351,9545,0.632,266,0.018
PA,MERCER,42,085,24232,0.475,25925,0.508,875,0.017
PA,MIFFLIN,42,087,4273,0.261,11939,0.729,159,0.010
PA,MONROE,42,089,35221,0.560,26867,0.427,829,0.013
PA,MONTGOMERY,42,091,231427,0.567,172019,0.421,4687,0.011
PA,MONTOUR,42,093,3053,0.390,4652,0.594,126,0.016
PA,NORTHAMPTON,42,095,67385,0.517,61304,0.470,1680,0.013
PA,NORTHUMBERLAND,42,097,12809,0.389,19335,0.587,773,0.023
PA,PERRY,42,099,5685,0.297,13120,0.686,323,0.017
PA,PIKE,42,103,10210,0.439,12786,0.549,283,0.012
PA,POTTER,42,105,1897,0.262,5231,0.722,114,0.016
PA,SCHUYLKILL,42,107,24546,0.425,32278,0.559,903,0.016
PA,SNYDER,42,109,4687,0.312,10073,0.670,284,0.019
PA,SOMERSET,42,111,9436,0.277,23984,0.704,658,0.019
PA,SULLIVAN,42,113,1034,0.349,1868,0.630,62,0.021
PA,SUSQUEHANNA,42,115,6935,0.383,10800,0.596,378,0.021
PA,TIOGA,42,117,5341,0.315,11288,0.667,303,0.018
PA,UNION,42,119,6109,0.376,9896,0.608,263,0.016
PA,VENANGO,42,121,7945,0.357,13815,0.621,496,0.022
PA,WARREN,42,123,6995,0.402,10010,0.575,402,0.023
PA,WASHINGTON,42,125,40345,0.426,53230,0.562,1175,0.012
PA,WAYNE,42,127,8396,0.389,12896,0.597,315,0.015
PA,WESTMORELAND,42,129,63722,0.376,103932,0.613,1918,0.011
PA,WYOMING,42,131,5009,0.426,6537,0.555,224,0.019
PA,YORK,42,133,73191,0.385,113304,0.597,3453,0.018
RI,KENT,44,003,45564,0.577,31567,0.400,1792,0.023
RI,PROVIDENCE,44,007,159520,0.665,75785,0.316,4481,0.019
SC,ABBEVILLE,45,001,4543,0.426,5981,0.560,147,0.014
SC,AIKEN,45,003,25322,0.360,44042,0.626,999,0.014
SC,ALLENDALE,45,005,3297,0.792,838,0.201,28,0.007
SC,ANDERSON,45,007,22405,0.310,48709,0.675,1098,0.015
SC,BAMBERG,45,009,4624,0.672,2194,0.319,64,0.009
SC,BARNWELL,45,011,5188,0.523,4659,0.470,76,0.008
SC,CHEROKEE,45,021,7231,0.348,13314,0.641,228,0.011
SC,CHESTER,45,023,7891,0.548,6367,0.442,149,0.010
SC,CHESTERFIELD,45,025,7958,0.480,8490,0.512,146,0.009
SC,CLARENDON,45,027,9091,0.558,7071,0.434,130,0.008
SC,DARLINGTON,45,031,15457,0.513,14434,0.479,259,0.009
SC,DILLON,45,033,7523,0.577,5427,0.416,85,0.007
SC,DORCHESTER,45,035,23445,0.412,32531,0.572,879,0.015
SC,EDGEFIELD,45,037,4967,0.429,6512,0.562,107,0.009
SC,FAIRFIELD,45,039,7777,0.654,3999,0.336,119,0.010
SC,FLORENCE,45,041,28614,0.492,28961,0.498,547,0.009
SC,GREENVILLE,45,045,68070,0.352,121685,0.630,3434,0.018
SC,GREENWOOD,45,047,11972,0.418,16348,0.570,352,0.012
SC,HAMPTON,45,049,5834,0.634,3312,0.360,60,0.007
SC,HORRY,45,051,38885,0.346,72127,0.642,1381,0.012
SC,KERSHAW,45,055,11259,0.403,16324,0.584,363,0.013
SC,LANCASTER,45,057,13419,0.405,19333,0.583,392,0.012
SC,LAURENS,45,059,10318,0.406,14746,0.580,352,0.014
SC,LEE,45,061,5977,0.671,2832,0.318,98,0.011
SC,LEXINGTON,45,063,34148,0.303,76662,0.681,1813,0.016
SC,MARION,45,065,9688,0.646,5164,0.345,134,0.009
SC,MARLBORO,45,067,6100,0.619,3676,0.373,77,0.008
SC,MCCORMICK,45,069,2653,0.514,2467,0.478,40,0.008
SC,NEWBERRY,45,071,6913,0.423,9260,0.566,178,0.011
SC,OCONEE,45,073,8550,0.279,21611,0.705,505,0.016
SC,ORANGEBURG,45,075,30720,0.714,12022,0.279,299,0.007
SC,PICKENS,45,077,11156,0.245,33474,0.735,919,0.020
SC,RICHLAND,45,079,103989,0.653,53105,0.334,2060,0.013
SC,SALUDA,45,081,3328,0.389,5135,0.600,101,0.012
SC,SPARTANBURG,45,083,41461,0.377,66969,0.609,1476,0.013
SC,SUMTER,45,085,27589,0.583,19274,0.407,446,0.009
SC,UNION,45,087,5796,0.462,6584,0.525,161,0.013
SC,WILLIAMSBURG,45,089,11335,0.695,4824,0.296,145,0.009
SC,YORK,45,091,39131,0.390,59546,0.594,1533,0.015
SD,AURORA,46,003,556,0.397,804,0.574,40,0.029
SD,BEADLE,46,005,2881,0.397,4230,0.582,152,0.021
SD,BENNETT,46,007,548,0.456,626,0.520,29,0.024
SD,BONHOMME,46,009,1167,0.380,1830,0.595,77,0.025
SD,BROOKINGS,46,011,5827,0.470,6220,0.502,353,0.028
SD,BROWN,46,013,7250,0.451,8321,0.518,497,0.031
SD,BRULE,46,015,824,0.346,1499,0.630,56,0.024
SD,BUFFALO,46,017,472,0.736,166,0.259,3,0.005
SD,BUTTE,46,019,1002,0.238,3073,0.730,133,0.032
SD,CAMPBELL,46,021,153,0.194,616,0.783,18,0.023
SD,CHARLESMIX,46,023,1483,0.394,2230,0.592,51,0.014
SD,CLARK,46,025,713,0.392,1067,0.586,41,0.023
SD,CLAY,46,027,2955,0.565,2147,0.410,132,0.025
SD,CODINGTON,46,029,4588,0.398,6696,0.581,240,0.021
SD,CORSON,46,031,648,0.540,515,0.429,37,0.031
SD,CUSTER,46,033,1335,0.295,3062,0.677,123,0.027
SD,DAVISON,46,035,3042,0.382,4757,0.597,172,0.022
SD,DAY,46,037,1497,0.521,1320,0.459,56,0.019
SD,DEUEL,46,039,941,0.433,1175,0.541,55,0.025
SD,DEWEY,46,041,1207,0.637,663,0.350,25,0.013
SD,DOUGLAS,46,043,332,0.196,1334,0.789,24,0.014
SD,EDMUNDS,46,045,622,0.321,1264,0.653,50,0.026
SD,FALLRIVER,46,047,1140,0.324,2258,0.642,118,0.034
SD,FAULK,46,049,331,0.294,765,0.679,31,0.028
SD,GRANT,46,051,1493,0.414,2034,0.564,79,0.022
SD,GREGORY,46,053,599,0.278,1507,0.701,45,0.021
SD,HAAKON,46,055,138,0.126,940,0.861,14,0.013
SD,HAMLIN,46,057,921,0.330,1803,0.646,69,0.025
SD,HAND,46,059,575,0.311,1242,0.672,31,0.017
SD,HANSON,46,061,760,0.315,1627,0.673,29,0.012
SD,HARDING,46,063,82,0.111,638,0.863,19,0.026
SD,HUGHES,46,065,2786,0.342,5219,0.640,150,0.018
SD,HUTCHINSON,46,067,923,0.269,2451,0.716,51,0.015
SD,HYDE,46,069,189,0.258,531,0.724,13,0.018
SD,JACKSON,46,071,426,0.385,661,0.598,19,0.017
SD,JERAULD,46,073,452,0.449,538,0.535,16,0.016
SD,JONES,46,075,108,0.177,490,0.805,11,0.018
SD,KINGSBURY,46,077,1092,0.419,1451,0.556,65,0.025
SD,LAKE,46,079,2724,0.433,3419,0.544,142,0.023
SD,LAWRENCE,46,081,3973,0.350,7025,0.618,361,0.032
SD,LINCOLN,46,083,7982,0.364,13611,0.620,359,0.016
SD,LYMAN,46,085,605,0.386,933,0.595,31,0.020
SD,MARSHALL,46,087,1061,0.534,889,0.447,37,0.019
SD,MCCOOK,46,089,905,0.346,1655,0.633,53,0.020
SD,MCPHERSON,46,091,272,0.224,921,0.758,22,0.018
SD,MEADE,46,093,2928,0.271,7566,0.699,323,0.030
SD,MELLETTE,46,095,375,0.488,381,0.495,13,0.017
SD,MINER,46,097,479,0.420,636,0.558,25,0.022
SD,MINNEHAHA,46,099,34674,0.453,40342,0.527,1567,0.020
SD,MOODY,46,101,1429,0.471,1535,0.506,69,0.023
SD,PENNINGTON,46,103,15125,0.340,28232,0.635,1107,0.025
SD,PERKINS,46,105,319,0.201,1205,0.758,66,0.042
SD,POTTER,46,107,339,0.245,1029,0.745,13,0.009
SD,ROBERTS,46,109,2302,0.541,1883,0.442,71,0.017
SD,SANBORN,46,111,389,0.349,688,0.617,38,0.034
SD,SHANNON,46,113,2937,0.934,188,0.060,20,0.006
SD,SPINK,46,115,1300,0.427,1670,0.549,71,0.023
SD,STANLEY,46,117,435,0.282,1063,0.690,42,0.027
SD,SULLY,46,119,186,0.227,613,0.749,19,0.023
SD,TODD,46,121,1976,0.791,498,0.199,23,0.009
SD,TRIPP,46,123,737,0.274,1905,0.708,49,0.018
SD,TURNER,46,125,1411,0.335,2715,0.645,84,0.020
SD,UNION,46,127,2782,0.366,4698,0.618,116,0.015
SD,WALWORTH,46,129,671,0.273,1731,0.703,60,0.024
SD,YANKTON,46,135,4226,0.424,5495,0.551,253,0.025
SD,ZIEBACH,46,137,439,0.577,314,0.413,8,0.011
TN,ANDERSON,47,001,10122,0.341,18968,0.640,569,0.019
TN,BEDFORD,47,003,4211,0.292,10034,0.695,200,0.014
TN,BENTON,47,005,2258,0.363,3850,0.618,118,0.019
TN,BLEDSOE,47,007,1267,0.291,3022,0.693,70,0.016
TN,BLOUNT,47,009,12934,0.263,35441,0.720,859,0.017
TN,BRADLEY,47,011,8037,0.223,27422,0.763,504,0.014
TN,CAMPBELL,47,013,3328,0.275,8604,0.711,169,0.014
TN,CANNON,47,015,1564,0.314,3309,0.665,100,0.020
TN,CARROLL,47,017,3475,0.320,7225,0.666,151,0.014
TN,CARTER,47,019,4789,0.232,15503,0.752,325,0.016
TN,CHEATHAM,47,021,4659,0.307,10268,0.676,255,0.017
TN,CHESTER,47,023,1624,0.253,4684,0.731,102,0.016
TN,CLAIBORNE,47,025,2433,0.239,7617,0.748,128,0.013
TN,CLAY,47,027,1037,0.368,1747,0.620,36,0.013
TN,COCKE,47,029,2804,0.245,8459,0.739,191,0.017
TN,COFFEE,47,031,5870,0.305,13023,0.676,366,0.019
TN,CROCKETT,47,033,1669,0.304,3783,0.688,46,0.008
TN,CUMBERLAND,47,035,6261,0.248,18653,0.739,333,0.013
TN,DAVIDSON,47,037,143120,0.584,97622,0.399,4131,0.017
TN,DECATUR,47,039,1303,0.307,2874,0.676,74,0.017
TN,DEKALB,47,041,2174,0.339,4143,0.645,105,0.016
TN,DICKSON,47,043,6233,0.349,11296,0.633,306,0.017
TN,DYER,47,045,3757,0.272,9921,0.719,122,0.009
TN,FAYETTE,47,047,6688,0.342,12689,0.648,197,0.010
TN,FENTRESS,47,049,1561,0.226,5243,0.760,91,0.013
TN,FRANKLIN,47,051,5603,0.348,10262,0.637,254,0.016
TN,GIBSON,47,053,6564,0.334,12883,0.655,220,0.011
TN,GILES,47,055,3760,0.348,6915,0.640,124,0.011
TN,GRAINGER,47,057,1668,0.230,5470,0.754,114,0.016
TN,GREENE,47,059,6225,0.261,17245,0.722,417,0.017
TN,GRUNDY,47,061,1643,0.388,2516,0.594,78,0.018
TN,HAMBLEN,47,063,5234,0.261,14522,0.725,276,0.014
TN,HAMILTON,47,065,58836,0.417,79933,0.566,2412,0.017
TN,HANCOCK,47,067,475,0.232,1527,0.746,44,0.021
TN,HARDEMAN,47,069,5482,0.525,4865,0.466,92,0.009
TN,HARDIN,47,071,2467,0.235,7886,0.751,142,0.014
TN,HAWKINS,47,073,5088,0.257,14382,0.726,327,0.017
TN,HAYWOOD,47,075,4569,0.604,2960,0.391,40,0.005
TN,HENDERSON,47,077,2517,0.250,7421,0.738,117,0.012
TN,HENRY,47,079,4339,0.341,8193,0.643,207,0.016
TN,HICKMAN,47,081,2698,0.355,4758,0.626,146,0.019
TN,HOUSTON,47,083,1400,0.463,1579,0.522,48,0.016
TN,HUMPHREYS,47,085,2905,0.423,3833,0.559,125,0.018
TN,JACKSON,47,087,1739,0.416,2383,0.570,62,0.015
TN,JEFFERSON,47,089,4232,0.241,13038,0.743,289,0.016
TN,JOHNSON,47,091,1483,0.239,4611,0.744,100,0.016
TN,KNOX,47,093,59399,0.344,109707,0.636,3401,0.020
